read.csv("test/data/tidy/data_cleaned.csv")study,es_id,yi,vi,sei,target_group,format,diagnosis,type,control,region,risk_of_bias,rob,rob_include_best,rob_exclude_worst,n_1,n_2,sample_size
"andersson, 2005",18,0.789966088247678,0.0519242593303709,0.227868952098286,adults,guided self-help,cut-off score,cbt-based,other ctr,europe,some concern,3,0,1,36,49,85
"araya, 2021",19,0.395725691602631,0.0120417705469566,0.109735001466973,general medical,guided self-help,cut-off score,cbt-based,cau,other region,low,4,1,1,217,217,434
"araya, 2021",20,0.265099475177847,0.00659219173629338,0.0811923132832991,general medical,guided self-help,cut-off score,cbt-based,cau,other region,low,4,1,1,440,440,880
"arean, 1993",21,0.834853376156667,0.111943418798865,0.334579465596538,older adults,group,diagnosis,cbt-based,wl,north america,some concern,1,0,1,19,20,39
"arean, 1993",22,0.848818280888214,0.112257549555909,0.335048577904621,older adults,group,diagnosis,cbt-based,wl,north america,some concern,1,0,1,19,20,39
"arean, 1993",23,2.37239782562441,0.177826778681993,0.421695125276536,older adults,group,diagnosis,cbt-based,wl,north america,some concern,1,0,1,19,20,39
"arean, 1993",24,0.513498639401802,0.0885532800799563,0.297579031653704,older adults,group,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,28,20,48
"arean, 1993",25,0.316900148925312,0.0867955474215515,0.294610840638208,older adults,group,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,28,20,48
"arean, 1993",26,0.533161285826018,0.0887748615820354,0.297951106025864,older adults,group,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,28,20,48
"arean, 1993",27,2.34247220891397,0.338730623745463,0.582005690475156,older adults,group,diagnosis,cbt-based,wl,north america,some concern,1,0,1,19,19,38
"arean, 1993",28,1.42760343993455,0.21438189836623,0.46301392891168,older adults,group,diagnosis,cbt-based,wl,north america,some concern,1,0,1,28,28,56
"arean, 1993",29,0.96822263454698,0.232194379180357,0.481865519808543,older adults,group,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,20,20,40
"arean, 1993",30,0.722185340076553,0.222862164897511,0.472082794536626,older adults,group,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,27,27,54
"arjadi, 2018",31,0.388644587098011,0.0130252689191716,0.114128300255334,adults,guided self-help,diagnosis,cbt-based,other ctr,other region,low,4,1,1,159,154,313
"arjadi, 2018",32,0.485226957270953,0.0196658868456159,0.140235112741481,adults,guided self-help,diagnosis,cbt-based,other ctr,other region,low,4,1,1,120,120,240
"ayen, 2004",33,3.36,0.482575757575758,0.694676728828422,other target groups,group,diagnosis,cbt-based,wl,europe,some concern,1,0,1,11,10,21
"ayen, 2004",34,4.00773893133375,0.6058699080627,0.778376456518759,other target groups,group,diagnosis,cbt-based,wl,europe,some concern,1,0,1,11,10,21
"ayen, 2004",35,1.71327192596694,0.201677297424994,0.449084955687667,other target groups,group,diagnosis,not-cbt-based,wl,europe,some concern,1,0,1,20,10,30
"ayen, 2004",36,2.29273050266666,0.242545054180912,0.492488633555042,other target groups,group,diagnosis,not-cbt-based,wl,europe,some concern,1,0,1,20,10,30
"ayen, 2004",37,3.38168109704688,0.48635198117561,0.69738940426107,other target groups,group,diagnosis,cbt-based,wl,europe,some concern,1,0,1,11,10,21
"ayen, 2004",38,4.23741108088131,0.654793140087943,0.809192894239651,other target groups,group,diagnosis,cbt-based,wl,europe,some concern,1,0,1,11,10,21
"ayen, 2004",39,1.76881207144872,0.205082111899133,0.452859925251874,other target groups,group,diagnosis,not-cbt-based,wl,europe,some concern,1,0,1,20,10,30
"ayen, 2004",40,2.17022900836379,0.232919815018392,0.482617669608554,other target groups,group,diagnosis,not-cbt-based,wl,europe,some concern,1,0,1,20,10,30
"barber, 2012",41,0.0989335546931013,0.0632562500396611,0.25150795223941,adults,individual,diagnosis,not-cbt-based,other ctr,north america,some concern,3,0,1,51,51,102
"barber, 2012",42,0.0521481630692572,0.0732275827233259,0.270605954707811,adults,individual,diagnosis,not-cbt-based,other ctr,north america,some concern,3,0,1,51,51,102
"barnhofer, 2009",43,0.915046805453178,0.143404849460457,0.378688327599964,adults,group,diagnosis,cbt-based,cau,europe,low,4,1,1,16,15,31
"barnhofer, 2009",44,1.1427463581374,0.406732180049956,0.637755580179394,adults,group,diagnosis,cbt-based,cau,europe,low,4,1,1,16,16,32
"barnhofer, 2009",45,1.24452587832391,0.330500051404768,0.574891338780442,adults,group,diagnosis,cbt-based,cau,europe,low,4,1,1,10,10,20
"barrett, 2001",46,0.270056935486176,0.0676680762182756,0.260130882861446,adults,individual,diagnosis,cbt-based,other ctr,north america,low,4,1,1,37,37,74
"barrett, 2001",47,-0.00259805101498038,0.0885019416107611,0.297492758921559,adults,individual,diagnosis,cbt-based,other ctr,north america,low,4,1,1,29,29,58
"baumeister, 2021",48,0.213812285331136,0.0192493596430076,0.138742061549508,general medical,guided self-help,diagnosis,cbt-based,cau,europe,low,4,1,1,104,105,209
"baumeister, 2021",49,0.445813726797858,0.0196181408409609,0.140064773733302,general medical,guided self-help,diagnosis,cbt-based,cau,europe,low,4,1,1,104,105,209
"baumeister, 2021",50,0.279126137510261,0.0193269447358472,0.139021382297283,general medical,guided self-help,diagnosis,cbt-based,cau,europe,low,4,1,1,104,105,209
"baumgartner, 2021",51,0.317575968024231,0.00890958836810848,0.0943906158900792,adults,guided self-help,cut-off score,cbt-based,wl,europe,low,4,1,1,221,234,455
"baumgartner, 2021",52,0.280234965057659,0.00863118073482311,0.0929041481034249,adults,guided self-help,cut-off score,cbt-based,wl,europe,low,4,1,1,234,234,468
"beach, 1992",53,1.3437896689328,0.165124743481976,0.40635543983313,other target groups,other formats,diagnosis,cbt-based,wl,north america,some concern,1,0,1,15,15,30
"beach, 1992",54,1.00327982302452,0.151054460932374,0.388657253801308,other target groups,individual,diagnosis,cbt-based,wl,north america,some concern,1,0,1,15,15,30
"bedard, 2014",55,0.517728117049531,0.0544314369531734,0.233305458472736,general medical,group,cut-off score,cbt-based,wl,north america,some concern,3,0,1,38,38,76
"bedard, 2014",56,0.413837782259694,0.0552753174231203,0.23510703397201899,general medical,group,cut-off score,cbt-based,wl,north america,some concern,3,0,1,36,38,74
"bedard, 2014",57,0.132425224884408,0.0534621744041452,0.231218888510747,general medical,group,cut-off score,cbt-based,wl,north america,some concern,3,0,1,38,37,75
"beeber, 2010",58,0.77409980792219,0.0607523250280107,0.246479867388821,other target groups,individual,cut-off score,not-cbt-based,cau,north america,some concern,2,0,1,34,37,71
"beeber, 2010",59,0.877649666950296,0.0805503409956585,0.283813919665084,other target groups,individual,cut-off score,not-cbt-based,cau,north america,some concern,2,0,1,34,34,68
"bendig, 2021",60,0.315451473205873,0.119590597612777,0.345818735196313,general medical,guided self-help,cut-off score,cbt-based,wl,europe,low,4,1,1,18,16,34
"berger, 2011",61,1.12527472527473,0.091266660510358,0.302103724754194,adults,guided self-help,diagnosis,cbt-based,wl,europe,low,4,1,1,25,26,51
"berger, 2011",62,0.654098954526653,0.0827882057834877,0.287729396801035,adults,other formats,diagnosis,cbt-based,wl,europe,low,4,1,1,25,26,51
"beutel, 2014",63,0.519091790686381,0.0378012900826048,0.194425538658389,general medical,individual,diagnosis,not-cbt-based,cau,europe,low,4,1,1,78,78,156
"boele, 2018",64,0.610279919347849,0.0856631420184723,0.29268266436274,general medical,guided self-help,cut-off score,cbt-based,wl,europe,low,4,1,1,19,34,53
"boeschoten, 2017",65,0.0777749067657328,0.0263541249679492,0.162339536059301,general medical,guided self-help,cut-off score,cbt-based,wl,europe,low,4,1,1,74,78,152
"boeschoten, 2017",66,0.312842819565521,0.033990856061798,0.184366092494791,general medical,guided self-help,cut-off score,cbt-based,wl,europe,low,4,1,1,74,74,148
"boeschoten, 2017",67,0.211113967150417,0.0487758971849647,0.220852659447344,general medical,guided self-help,cut-off score,cbt-based,wl,europe,low,4,1,1,74,74,148
"bohlmeijer, 2011",68,0.59646942415914,0.0450802213519354,0.212321033701175,adults,group,cut-off score,cbt-based,wl,europe,low,4,1,1,49,44,93
"bolton, 2003",69,1.31674927974785,0.0171596278958404,0.130994762856537,adults,group,diagnosis,not-cbt-based,cau,other region,some concern,3,0,1,139,145,284
"bolton, 2003",70,0.923358899199071,0.0233665936810671,0.152861354439463,adults,group,diagnosis,not-cbt-based,cau,other region,some concern,3,0,1,116,116,232
"bower, 2021",71,0.235557454183143,0.0242790569079977,0.155817383202253,general medical,group,cut-off score,not-cbt-based,wl,north america,some concern,2,0,1,85,81,166
"bower, 2021",72,0.0452309026719001,0.0241166038843608,0.155295215265509,general medical,group,cut-off score,not-cbt-based,other ctr,north america,some concern,2,0,1,85,81,166
"bowman, 1995",73,0.934478738612959,0.223800042363906,0.47307509167563,adults,guided self-help,cut-off score,cbt-based,wl,north america,some concern,1,0,1,10,10,20
"bowman, 1995",74,0.96046539010317,0.225142144638404,0.474491458973082,adults,guided self-help,cut-off score,cbt-based,wl,north america,high,0,0,0,10,10,20
"bowman, 1995",75,1.47911058791023,0.259626617375231,0.509535688029044,adults,guided self-help,cut-off score,cbt-based,wl,north america,some concern,1,0,1,10,10,20
"bowman, 1995",76,1.10121757491683,0.233051041428244,0.482753603226578,adults,guided self-help,cut-off score,cbt-based,wl,north america,high,0,0,0,10,10,20
"bowman, 1995",77,0.51791051533666,0.316628698882305,0.562697697598191,adults,guided self-help,cut-off score,cbt-based,wl,north america,high,0,0,0,10,10,20
"bowman, 1995",78,0.51791051533666,0.316628698882305,0.562697697598191,adults,guided self-help,cut-off score,cbt-based,wl,north america,high,0,0,0,10,10,20
"braun, 2021",79,0.280660521956205,0.0118814678745412,0.109002146192363,other target groups,guided self-help,cut-off score,not-cbt-based,other ctr,europe,low,4,1,1,171,169,340
"brown, 1984",80,0.220049386314167,0.131612531624088,0.362784414803184,adults,group,diagnosis,cbt-based,wl,north america,some concern,1,0,1,25,11,36
"brown, 1984",81,0.617254963581594,0.136444074784664,0.369383371018058,adults,group,diagnosis,cbt-based,wl,north america,some concern,1,0,1,25,11,36
"brown, 1984",82,0.276387362583497,0.169539331105412,0.411751540501565,adults,individual,diagnosis,cbt-based,wl,north america,some concern,1,0,1,13,11,24
"brown, 1984",83,0.371686304486562,0.170919560110573,0.413424189072886,adults,individual,diagnosis,cbt-based,wl,north america,some concern,1,0,1,13,11,24
"brown, 1984",84,0.446563977453024,0.166602620847796,0.408169843138608,adults,guided self-help,diagnosis,cbt-based,wl,north america,some concern,1,0,1,14,11,25
"brown, 1984",85,0.417080057125488,0.166058033631368,0.40750218849887,adults,guided self-help,diagnosis,cbt-based,wl,north america,some concern,1,0,1,14,11,25
"buhrman, 2015",86,0.297000435209749,0.0782552812980011,0.279741454378862,general medical,guided self-help,cut-off score,cbt-based,wl,europe,low,4,1,1,28,24,52
"buhrman, 2015",87,1.13436932730102,0.159441686786624,0.399301498603028,general medical,guided self-help,cut-off score,cbt-based,wl,europe,low,4,1,1,28,28,56
"buntrock, 2015",88,0.658398329665977,0.0103882973881714,0.101922997346876,adults,guided self-help,subclinical depression,not-cbt-based,cau,europe,low,4,1,1,202,204,406
"buntrock, 2015",89,0.633541663281144,0.0151922147887306,0.123256702814616,adults,guided self-help,subclinical depression,not-cbt-based,cau,europe,low,4,1,1,202,202,404
"buntrock, 2015",90,0.639407382570615,0.0134279567331794,0.115879060805563,adults,guided self-help,subclinical depression,not-cbt-based,cau,europe,low,4,1,1,202,202,404
"burmaoğlu, 2021",91,0.459928190491244,0.137057484110331,0.370212755196698,other target groups,group,diagnosis,cbt-based,cau,other region,some concern,1,0,1,15,15,30
"burmaoğlu, 2021",92,0.258550162013865,0.134510225913243,0.366756357699826,other target groups,group,diagnosis,not-cbt-based,cau,other region,some concern,1,0,1,15,15,30
"burns, 2007",93,0.403554443243698,0.0496379724822389,0.222795808942266,general medical,individual,cut-off score,not-cbt-based,cau,europe,low,4,1,1,50,50,100
"burns, 2013",94,0.953781274881424,0.156025461399587,0.395000584049678,perinatal depression,individual,cut-off score,cbt-based,cau,europe,low,4,1,1,16,13,29
"burns, 2013",95,0.939309965308677,0.155525481824367,0.394367191617619,perinatal depression,individual,cut-off score,cbt-based,cau,europe,low,4,1,1,16,13,29
"burns, 2013",96,0.896763199626516,0.154099777660656,0.392555445333084,perinatal depression,individual,cut-off score,cbt-based,cau,europe,low,4,1,1,16,13,29
"burns, 2013",97,0.674372844510676,0.187213914320956,0.432682232499736,perinatal depression,individual,cut-off score,cbt-based,cau,europe,low,4,1,1,16,16,32
"carlbring, 2013",98,0.854581359864437,0.0546537836973204,0.233781487071411,adults,guided self-help,diagnosis,cbt-based,wl,europe,low,4,1,1,40,40,80
"carlbring, 2013",99,0.633042612109873,0.0525536728069755,0.229245878495068,adults,guided self-help,diagnosis,cbt-based,wl,europe,low,4,1,1,40,40,80
"carlbring, 2013",100,1.00784095770756,0.20050928973431,0.447782636704809,adults,guided self-help,diagnosis,cbt-based,wl,europe,low,4,1,1,40,40,80
"carr, 2017",101,0.398629852531653,0.0497969462450945,0.223152293837851,adults,group,diagnosis,cbt-based,cau,europe,some concern,2,0,1,40,42,82
"carr, 2017",102,0.295986967676178,0.049353911794891,0.222157403196227,adults,group,diagnosis,cbt-based,cau,europe,some concern,2,0,1,40,42,82
"carr, 2017",103,0.31429137826574,0.0494233257934223,0.222313575369167,adults,group,diagnosis,cbt-based,cau,europe,some concern,2,0,1,40,42,82
"carta, 2012",104,0.248029997930288,0.0632376053748758,0.251470883751729,adults,individual,diagnosis,cbt-based,cau,europe,some concern,1,0,1,34,30,64
"casanas, 2012",105,0.287004412196639,0.0175114010456429,0.132330650439129,adults,group,diagnosis,cbt-based,cau,europe,low,4,1,1,119,112,231
"casanas, 2012",106,0.452366070680937,0.0291254273536337,0.170661733712141,adults,group,diagnosis,cbt-based,cau,europe,low,4,1,1,119,119,238
"castonguay, 2004",107,1.84072421762088,0.278444889038018,0.527678774481235,adults,individual,diagnosis,cbt-based,wl,north america,some concern,1,0,1,11,10,21
"castonguay, 2004",108,1.65035813332865,0.261275378531136,0.511151032994296,adults,individual,diagnosis,cbt-based,wl,north america,some concern,1,0,1,11,10,21
"castonguay, 2004",109,1.95243440138955,0.524337125349098,0.724111265862573,adults,individual,diagnosis,cbt-based,wl,north america,some concern,1,0,1,11,11,22
"castonguay, 2004",110,1.24452587832391,0.330500051404768,0.574891338780442,adults,individual,diagnosis,cbt-based,wl,north america,some concern,1,0,1,11,11,22
"chan, 2012",111,2.6721116692327,0.2349849297826,0.484752441750013,adults,group,diagnosis,cbt-based,wl,east asia,some concern,2,0,1,17,16,33
"chan, 2012",112,0.604310781365784,0.127136852763264,0.356562550982663,adults,group,diagnosis,cbt-based,wl,east asia,some concern,2,0,1,17,16,33
"chan, 2012",113,1.48491236276344,0.156423394022299,0.395503974723768,adults,group,diagnosis,not-cbt-based,wl,east asia,some concern,2,0,1,17,16,33
"chan, 2012",114,0.685398597338468,0.128801611322651,0.358889413779023,adults,group,diagnosis,not-cbt-based,wl,east asia,some concern,2,0,1,17,16,33
"chan, 2013",115,1.43178149498793,0.196797935645519,0.443619133543087,older adults,individual,cut-off score,not-cbt-based,cau,east asia,some concern,3,0,1,14,12,26
"chen, 2000",116,0.597830508704193,0.087811692490026,0.296330377265015,perinatal depression,group,cut-off score,not-cbt-based,cau,east asia,some concern,1,0,1,30,30,60
"chesney, 2003",117,0.159227706930406,0.0482086410088999,0.219564662477594,general medical,group,subclinical depression,not-cbt-based,wl,north america,some concern,1,0,1,46,38,84
"chesney, 2003",118,0.0321046813368186,0.0444722284844671,0.2108843960194,general medical,group,subclinical depression,not-cbt-based,other ctr,north america,some concern,1,0,1,46,44,90
"chiang, 2015",119,3.59853480478522,0.171686306216221,0.414350463033675,adults,group,diagnosis,cbt-based,cau,east asia,some concern,3,0,1,30,32,62
"chiang, 2015",120,4.82040079863866,0.256766971342814,0.50672178889684,adults,group,diagnosis,cbt-based,cau,east asia,some concern,3,0,1,30,32,62
"cho, 2008",121,1.04408175204461,0.210103022744096,0.458369962741993,perinatal depression,individual,diagnosis,cbt-based,cau,east asia,some concern,1,0,1,12,10,22
"cho, 2008",122,0.40423325711305,0.327122678616691,0.571946394880404,perinatal depression,individual,diagnosis,cbt-based,cau,east asia,some concern,1,0,1,12,12,24
"choi, 2012",123,0.893493187771156,0.0700034063223414,0.264581568372291,other target groups,guided self-help,diagnosis,cbt-based,wl,australia,low,4,1,1,32,31,63
"choi, 2012",124,0.275553918125277,0.0641258428883162,0.25323080951637,other target groups,guided self-help,diagnosis,cbt-based,wl,australia,low,4,1,1,32,31,63
"choi, 2012",125,0.480513749529244,0.0653866508429345,0.255708136051504,other target groups,guided self-help,diagnosis,cbt-based,wl,australia,low,4,1,1,32,31,63
"choi, 2014",126,0.30465956316584,0.0901034811676504,0.300172419065527,older adults,individual,cut-off score,cbt-based,other ctr,north america,some concern,1,0,1,34,34,68
"choi, 2014",127,0.498836416205436,0.0889540391683465,0.298251637327185,older adults,other formats,cut-off score,cbt-based,other ctr,north america,some concern,1,0,1,34,34,68
"choi, 2020b",128,1.04606708163145,0.0243407055303768,0.156015081099158,other target groups,other formats,cut-off score,cbt-based,other ctr,north america,some concern,2,0,1,93,94,187
"choi, 2020b",129,0.886143299536188,0.051076427694424,0.226000946224621,other target groups,other formats,cut-off score,cbt-based,other ctr,north america,some concern,2,0,1,98,98,196
"choi, 2020b",130,1.11332251006508,0.0435387289991616,0.208659361158712,other target groups,other formats,cut-off score,cbt-based,other ctr,north america,some concern,3,0,1,98,98,196
"choi, 2020b",131,0.647348204413087,0.0228976148621303,0.151319578581657,other target groups,other formats,cut-off score,cbt-based,other ctr,north america,some concern,2,0,1,90,94,184
"choi, 2020b",132,0.719779371588028,0.0526686739564025,0.229496566328132,other target groups,other formats,cut-off score,cbt-based,other ctr,north america,some concern,2,0,1,99,99,198
"choi, 2020b",133,0.651804676086541,0.0459507222008936,0.214361195650924,other target groups,other formats,cut-off score,cbt-based,other ctr,north america,some concern,3,0,1,99,99,198
"chowdhary, 2016",134,0.450417976848539,0.0758226471806802,0.275359124019307,adults,individual,cut-off score,cbt-based,cau,other region,some concern,3,0,1,24,31,55
"chowdhary, 2016",135,0.52737993707081,0.0953663421475688,0.308814413762649,adults,individual,cut-off score,cbt-based,cau,other region,some concern,3,0,1,24,24,48
"chowdhary, 2016",136,0.394988922706513,0.0986051146169605,0.314014513385863,adults,individual,cut-off score,cbt-based,cau,other region,some concern,3,0,1,24,24,48
"choy, 2016",137,0.992634897206899,0.0556503252352016,0.235903211583059,older adults,group,cut-off score,not-cbt-based,wl,east asia,some concern,1,0,1,39,42,81
"choy, 2016",138,0.944299685011572,0.0725110433352846,0.269278746534673,older adults,group,cut-off score,not-cbt-based,wl,east asia,some concern,1,0,1,39,39,78
"clark, 2003",139,0.415217774067767,0.16111100719430901,0.401386356512411,perinatal depression,group,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,15,11,26
"clark, 2003",140,0.534414259777664,0.163432070681285,0.404267325765124,perinatal depression,group,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,15,11,26
"clark, 2003",141,0.506021176437736,0.208998929905627,0.457164007666425,perinatal depression,group,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,9,11,20
"clark, 2003",142,0.702453976399913,0.215468726295438,0.46418609015721,perinatal depression,group,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,9,11,20
"clark, 2008",143,1.09392644765392,0.159935061774981,0.399918818980779,perinatal depression,group,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,14,15,29
"cohen, 2010",144,0.351923909776145,0.136109014458337,0.368929552161841,other target groups,other formats,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,16,14,30
"cohen, 2010",145,0.721401597995152,0.143090805785473,0.378273453714998,other target groups,other formats,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,16,14,30
"cohen, 2010",146,1.23101255363403,0.273567195834312,0.523036514819292,other target groups,other formats,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,15,15,30
"cohen, 2010",147,1.06519691820966,0.416030920713235,0.645004589683853,other target groups,other formats,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,15,15,30
"cohen, 2010",148,1.23101255363403,0.273567195834312,0.523036514819292,other target groups,other formats,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,15,15,30
"cohen, 2010",149,1.21057865395321,0.413015409295309,0.642662749266914,other target groups,other formats,diagnosis,not-cbt-based,wl,north america,some concern,1,0,1,15,15,30
"cooper, 2003",150,0.433844011142062,0.0448497751682195,0.211777655025783,perinatal depression,individual,diagnosis,cbt-based,cau,europe,low,4,1,1,42,50,92
"cooper, 2003",151,0.259083437985917,0.0416281402408874,0.204029753322616,perinatal depression,individual,diagnosis,not-cbt-based,cau,europe,low,4,1,1,47,50,97
"cooper, 2003",152,0.525975429475407,0.043702112423917,0.209050502089607,perinatal depression,individual,diagnosis,not-cbt-based,cau,europe,low,4,1,1,45,50,95
"cooper, 2003",153,0.37895859809062,0.0548823078062663,0.234269733013606,perinatal depression,individual,diagnosis,cbt-based,cau,europe,low,4,1,1,42,42,84
"cooper, 2003",154,0.313173948251148,0.0508377267576065,0.225472230568659,perinatal depression,individual,diagnosis,not-cbt-based,cau,europe,low,4,1,1,48,48,96
"cooper, 2003",155,0.714350769529348,0.0582109684868238,0.241269493485654,perinatal depression,individual,diagnosis,not-cbt-based,cau,europe,low,4,1,1,45,45,90
"cramer, 2011",156,0.247551088677597,0.0739330185745342,0.271906267994201,other target groups,group,cut-off score,cbt-based,cau,europe,some concern,3,0,1,48,19,67
"cramer, 2011",157,0.838826329136811,0.197547469055981,0.444463124517638,other target groups,group,cut-off score,cbt-based,cau,europe,some concern,3,0,1,48,48,96
"cramer, 2011",158,0.604702436905056,0.100096422081826,0.316380185981717,other target groups,group,cut-off score,cbt-based,cau,europe,some concern,3,0,1,48,48,96
"d'elia, 2020",159,1.44998634184853,0.340168223208254,0.583239421857143,adults,group,diagnosis,cbt-based,other ctr,north america,low,4,1,1,10,6,16
"davoudi, 2020",160,0.714226501492164,0.106637620192308,0.326554161192761,general medical,group,cut-off score,cbt-based,other ctr,other region,some concern,2,0,1,20,20,40
"de groot, 2019",161,0.918886567856972,0.110082037867051,0.331786132722649,general medical,individual,diagnosis,cbt-based,cau,north america,low,4,1,1,25,25,50
"de groot, 2019",162,0.782141408062927,0.106764975307332,0.326749101463695,general medical,individual,diagnosis,cbt-based,cau,north america,low,4,1,1,24,24,48
"de groot, 2019",163,0.866916864153052,0.0830186280956504,0.288129533535961,general medical,individual,diagnosis,cbt-based,cau,north america,low,4,1,1,25,28,53
"de groot, 2019",164,0.623396540413733,0.0812329804793707,0.285014000497117,general medical,individual,diagnosis,cbt-based,cau,north america,low,4,1,1,24,28,52
"de jong, 2018",165,0.0957177389993715,0.110009323362897,0.331676534236139,general medical,group,diagnosis,cbt-based,wl,north america,some concern,1,0,1,26,14,40
"de jong, 2018",166,0.0181494544248713,0.109894396042679,0.331503236850983,general medical,group,diagnosis,cbt-based,wl,north america,some concern,1,0,1,26,14,40
"dekker, 2012",167,0.419444705282721,0.0998501104513059,0.315990680956426,general medical,individual,cut-off score,cbt-based,cau,north america,low,4,1,1,20,21,41
"dennis, 2020",168,1.07064894780161,0.022445922669088,0.149819633790395,perinatal depression,other formats,diagnosis,not-cbt-based,cau,north america,some concern,2,0,1,104,100,204
"dennis, 2020",169,0.597811492143722,0.0246306174466003,0.15694144591726,perinatal depression,other formats,diagnosis,not-cbt-based,cau,north america,some concern,2,0,1,120,120,240
"derubeis, 2005",170,0.454879120400069,0.0476499925485383,0.218288782461533,adults,individual,diagnosis,cbt-based,other ctr,north america,some concern,2,0,1,60,60,120
"desautels, 2017",171,1.20510268437654,0.152006799326937,0.389880493647652,general medical,individual,cut-off score,cbt-based,wl,north america,low,4,1,1,25,11,36
"desautels, 2017",172,1.0783899145062,0.147803336888847,0.384451995558414,general medical,individual,cut-off score,cbt-based,wl,north america,low,4,1,1,25,11,36
"desautels, 2017",173,0.933406504777763,0.143566033910855,0.378901087238946,general medical,individual,cut-off score,cbt-based,wl,north america,low,4,1,1,25,11,36
"desautels, 2017",174,1.37574963887948,0.234551960834373,0.484305648154523,general medical,individual,cut-off score,cbt-based,wl,north america,low,4,1,1,25,25,50
"desautels, 2017",175,1.37127594397454,0.383704638313061,0.619438970612167,general medical,individual,cut-off score,cbt-based,wl,north america,low,4,1,1,25,25,50
"desautels, 2017",176,1.04899568211164,0.195405139881651,0.4420465358779,general medical,individual,cut-off score,cbt-based,wl,north america,low,4,1,1,25,25,50
"desautels, 2017",177,0.85396293879284,0.234467610864641,0.484218556918919,general medical,individual,cut-off score,cbt-based,wl,north america,low,4,1,1,25,25,50
"desautels, 2017",178,0.975788175398587,0.226591010691046,0.47601576727147,general medical,individual,cut-off score,cbt-based,wl,north america,low,4,1,1,25,25,50
